uid,sentence,sense_keys,glosses,target
d004.s010.t019,"Being somewhat delicate in health , at the age of sixteen he was sent to Southern Europe , for which he at once developed a passion , so that he spent nearly all of the following ten years abroad , at first in [TGT] Italy [TGT] , then in Greece , Egypt , Asia Minor , and Palestine .",['italy%1:15:00::'],['a republic in southern Europe on the Italian Peninsula; was the core of the Roman Republic and the Roman Empire between the 4th century BC and the 5th century AD'],[0]
d004.s010.t020,"Being somewhat delicate in health , at the age of sixteen he was sent to Southern Europe , for which he at once developed a passion , so that he spent nearly all of the following ten years abroad , at first in Italy , [TGT] then [TGT] in Greece , Egypt , Asia Minor , and Palestine .","['then%4:02:01::', 'then%4:02:02::', 'then%4:02:00::']","['at that time', 'in that case or as a consequence', 'subsequently or soon afterward (often used as sentence connectors)']",[2]
d004.s010.t021,"Being somewhat delicate in health , at the age of sixteen he was sent to Southern Europe , for which he at once developed a passion , so that he spent nearly all of the following ten years abroad , at first in Italy , then in [TGT] Greece [TGT] , Egypt , Asia Minor , and Palestine .","['greece%1:15:00::', 'greece%1:15:01::']","['a republic in southeastern Europe on the southern part of the Balkan peninsula; known for grapes and olives and olive oil', 'ancient Greece; a country of city-states (especially Athens and Sparta) that reached its peak in the fifth century BCE']",[0]
d004.s010.t022,"Being somewhat delicate in health , at the age of sixteen he was sent to Southern Europe , for which he at once developed a passion , so that he spent nearly all of the following ten years abroad , at first in Italy , then in Greece , [TGT] Egypt [TGT] , Asia Minor , and Palestine .","['egypt%1:15:00::', 'egypt%1:15:01::']","['a republic in northeastern Africa known as the United Arab Republic until 1971; site of an ancient civilization that flourished from 2600 to 30 BC', 'an ancient empire to the west of Israel; centered on the Nile River and ruled by a Pharaoh; figured in many events described in the Old Testament']",[0]
d004.s010.t023,"Being somewhat delicate in health , at the age of sixteen he was sent to Southern Europe , for which he at once developed a passion , so that he spent nearly all of the following ten years abroad , at first in Italy , then in Greece , Egypt , [TGT] Asia Minor [TGT] , and Palestine .",['asia_minor%1:15:00::'],['a peninsula in southwestern Asia that forms the Asian part of Turkey'],[0]
d004.s010.t024,"Being somewhat delicate in health , at the age of sixteen he was sent to Southern Europe , for which he at once developed a passion , so that he spent nearly all of the following ten years abroad , at first in Italy , then in Greece , Egypt , Asia Minor , and [TGT] Palestine [TGT] .","['palestine%1:15:01::', 'palestine%1:15:00::']","['a former British mandate on the east coast of the Mediterranean; divided between Jordan and Israel in 1948', 'an ancient country in southwestern Asia on the east coast of the Mediterranean Sea; a place of pilgrimage for Christianity and Islam and Judaism']",[0]
d004.s011.t000,"In one of his [TGT] summers [TGT] at home he married , to the great disapproval of his father , who objected because of his extreme youth .","['summer%1:28:01::', 'summer%1:28:00::']","['the period of finest development, happiness, or beauty', 'the warmest season of the year; in the northern hemisphere it extends from the summer solstice to the autumnal equinox']",[1]
d004.s011.t001,"In one of his summers at [TGT] home [TGT] he married , to the great disapproval of his father , who objected because of his extreme youth .","['home%1:26:00::', 'home%1:15:04::', 'home%1:06:01::', 'home%1:06:00::']","['an environment offering affection and security', 'where you live at a particular time', 'an institution where people are cared for', 'housing that someone is living in']",[1]
d004.s011.t002,"In one of his summers at home he [TGT] married [TGT] , to the great disapproval of his father , who objected because of his extreme youth .","['marry%2:41:00::', 'marry%2:41:01::']","['take in marriage', 'perform a marriage ceremony']",[0]
d004.s011.t003,"In one of his summers at home he married , to the great [TGT] disapproval [TGT] of his father , who objected because of his extreme youth .","['disapproval%1:12:00::', 'disapproval%1:09:00::', 'disapproval%1:10:00::', 'disapproval%1:04:00::']","['a feeling of disliking something or what someone is doing', 'an inclination to withhold approval from some person or group', 'the expression of disapproval', 'the act of disapproving or condemning']",[0]
d004.s011.t004,"In one of his summers at home he married , to the great disapproval of his [TGT] father [TGT] , who objected because of his extreme youth .","['father%1:18:01::', 'father%1:18:00::', 'father%1:18:07::', 'father%1:18:02::']","[""`Father' is a term of address for priests in some churches (especially the Roman Catholic Church or the Orthodox Catholic Church); `Padre' is frequently used in the military"", 'a male parent (also used as a term of address to your father)', 'the head of an organized crime family', 'God when considered as the first person in the Trinity']",[1]
d004.s011.t005,"In one of his summers at home he married , to the great disapproval of his father , who [TGT] objected [TGT] because of his extreme youth .","['object%2:32:00::', 'object%2:42:00::']","['express or raise an objection or protest or criticism or express dissent', 'be averse to or express disapproval of']",[0]
d004.s011.t006,"In one of his summers at home he married , to the great disapproval of his father , who objected because of his [TGT] extreme [TGT] youth .","['extreme%5:00:00:distant:01', 'extreme%5:00:01:immoderate:00', 'extreme%5:00:00:immoderate:00', 'extreme%5:00:00:intense:00']","['most distant in any direction', 'beyond a norm in views or actions', 'far beyond a norm in quantity or amount or degree; to an utmost degree', 'of the greatest possible degree or extent or intensity']",[3]
d004.s011.t007,"In one of his summers at home he married , to the great disapproval of his father , who objected because of his extreme [TGT] youth [TGT] .","['youth%1:07:00::', 'youth%1:28:00::', 'youth%1:14:00::', 'youth%1:26:00::']","['the freshness and vitality characteristic of a young person', 'the time of life between childhood and maturity', 'young people collectively', 'early maturity; the state of being young or immature or inexperienced']",[3]
d004.s012.t000,"[TGT] Deciding [TGT] to become a painter , he entered the studio of Gerome in Paris , where he enjoyed the life of the artists , but soon found that whatever talent he might have did not lie in that direction .","['decide%2:31:06::', 'decide%2:31:01::', 'decide%2:31:02::', 'decide%2:31:00::']","['influence or determine', 'bring to an end; settle conclusively', 'cause to decide', 'reach, make, or come to a decision about something']",[3]
d004.s012.t001,"Deciding to [TGT] become [TGT] a painter , he entered the studio of Gerome in Paris , where he enjoyed the life of the artists , but soon found that whatever talent he might have did not lie in that direction .","['become%2:30:00::', 'become%2:42:01::', 'become%2:42:03::', 'become%2:42:00::']","['enter or assume a certain state or condition', 'undergo a change or development', 'enhance the appearance of', 'come into existence']",[1]
d004.s012.t002,"Deciding to become a [TGT] painter [TGT] , he entered the studio of Gerome in Paris , where he enjoyed the life of the artists , but soon found that whatever talent he might have did not lie in that direction .","['painter%1:18:01::', 'painter%1:05:00::', 'painter%1:06:00::', 'painter%1:18:00::']","['a worker who is employed to cover objects with paint', 'large American feline resembling a lion', 'a line that is attached to the bow of a boat and used for tying up (as when docking or towing)', 'an artist who paints']",[3]
d004.s012.t003,"Deciding to become a painter , he [TGT] entered [TGT] the studio of Gerome in Paris , where he enjoyed the life of the artists , but soon found that whatever talent he might have did not lie in that direction .","['enter%2:41:06::', 'enter%2:38:00::', 'enter%2:33:00::', 'enter%2:32:04::']","['register formally as a participant or member', 'to come or go into', 'become a participant; be involved in', 'make a record of; set down in permanent form']",[2]
d004.s012.t004,"Deciding to become a painter , he entered the [TGT] studio [TGT] of Gerome in Paris , where he enjoyed the life of the artists , but soon found that whatever talent he might have did not lie in that direction .","['studio%1:06:01::', 'studio%1:06:02::', 'studio%1:06:00::']","['an apartment with a living space and a bathroom and a small kitchen', 'workplace consisting of a room or building where movies or television shows or radio programs are produced and recorded', 'workplace for the teaching or practice of an art']",[2]
d004.s012.t005,"Deciding to become a painter , he entered the studio of [TGT] Gerome [TGT] in Paris , where he enjoyed the life of the artists , but soon found that whatever talent he might have did not lie in that direction .","['person%1:10:00::', 'person%1:03:00::', 'person%1:08:00::']","['a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human being', 'a human body (usually including the clothing)']",[1]
d004.s012.t006,"Deciding to become a painter , he entered the studio of Gerome in [TGT] Paris [TGT] , where he enjoyed the life of the artists , but soon found that whatever talent he might have did not lie in that direction .","['paris%1:20:00::', 'paris%1:15:00::', 'paris%1:18:00::', 'paris%1:15:01::']","['sometimes placed in subfamily Trilliaceae', 'the capital and largest city of France; and international center of culture and commerce', '(Greek mythology) the prince of Troy who abducted Helen from her husband Menelaus and provoked the Trojan War', 'a town in northeastern Texas']",[1]
d004.s012.t007,"Deciding to become a painter , he entered the studio of Gerome in Paris , where he [TGT] enjoyed [TGT] the life of the artists , but soon found that whatever talent he might have did not lie in that direction .","['enjoy%2:34:00::', 'enjoy%2:39:00::', 'enjoy%2:37:00::', 'enjoy%2:37:01::']","['take delight in', ""have for one's benefit"", 'derive or receive pleasure from; get enjoyment from; take pleasure in', 'get pleasure from']","[2, 0]"
d004.s012.t008,"Deciding to become a painter , he entered the studio of Gerome in Paris , where he enjoyed the [TGT] life [TGT] of the artists , but soon found that whatever talent he might have did not lie in that direction .","['life%1:26:02::', 'life%1:26:01::', 'life%1:28:01::', 'life%1:09:00::']","['the course of existence of an individual; the actions and events that occur in living', 'a characteristic state or mode of living', 'the period between birth and the present time', 'the experience of being alive; the course of human events and activities']",[1]
d004.s012.t009,"Deciding to become a painter , he entered the studio of Gerome in Paris , where he enjoyed the life of the [TGT] artists [TGT] , but soon found that whatever talent he might have did not lie in that direction .",['artist%1:18:00::'],['a person whose creative work shows sensitivity and imagination'],[0]
d004.s012.t010,"Deciding to become a painter , he entered the studio of Gerome in Paris , where he enjoyed the life of the artists , but [TGT] soon [TGT] found that whatever talent he might have did not lie in that direction .",['soon%4:02:00::'],['in the near future'],[0]
d004.s012.t011,"Deciding to become a painter , he entered the studio of Gerome in Paris , where he enjoyed the life of the artists , but soon [TGT] found [TGT] that whatever talent he might have did not lie in that direction .","['find%2:39:05::', 'find%2:30:00::', 'find%2:31:09::', 'find%2:30:13::']","['perceive oneself to be in a certain condition or place', 'receive a specified treatment (abstract)', 'make a discovery', ""accept and make use of one's personality, abilities, and situation""]",[2]
d004.s012.t012,"Deciding to become a painter , he entered the studio of Gerome in Paris , where he enjoyed the life of the artists , but soon found that whatever [TGT] talent [TGT] he might have did not lie in that direction .","['talent%1:18:00::', 'talent%1:09:00::']","['a person who possesses unusual innate ability in some field or activity', 'natural abilities or qualities']",[1]
d004.s012.t013,"Deciding to become a painter , he entered the studio of Gerome in Paris , where he enjoyed the life of the artists , but soon found that whatever talent he might [TGT] have [TGT] did not lie in that direction .","['have%2:29:05::', 'have%2:40:04::', 'have%2:36:00::', 'have%2:40:00::']","['undergo (as of injuries and illnesses)', 'have ownership or possession of', 'organize or be responsible for', 'have or possess, either in a concrete or an abstract sense']",[1]
d004.s012.t014,"Deciding to become a painter , he entered the studio of Gerome in Paris , where he enjoyed the life of the artists , but soon found that whatever talent he might have did [TGT] not [TGT] lie in that direction .",['not%4:02:00::'],['negation of a word or group of words'],[0]
d004.s012.t015,"Deciding to become a painter , he entered the studio of Gerome in Paris , where he enjoyed the life of the artists , but soon found that whatever talent he might have did not [TGT] lie in [TGT] that direction .","['lie_in%2:42:00::', 'lie_in%2:29:00::']","['originate (in)', 'be in confinement for childbirth']",[0]
d004.s012.t016,"Deciding to become a painter , he entered the studio of Gerome in Paris , where he enjoyed the life of the artists , but soon found that whatever talent he might have did not lie in that [TGT] direction [TGT] .","['direction%1:10:02::', 'direction%1:15:00::', 'direction%1:09:00::', 'direction%1:24:00::']","['a message describing how something is to be done', 'a line leading to a place or point', 'a general course along which something has a tendency to develop', 'the spatial relation between something and the course along which it points or moves']",[2]
d004.s013.t000,"He [TGT] gives [TGT] us an account of this in his lively and humorous poem , `` The Happy Artists '' .","['give%2:32:03::', 'give%2:36:13::', 'give%2:40:07::', 'give%2:30:13::']","['give entirely to a specific person, activity, or cause', 'present to view', 'convey or reveal information', 'occur']",[2]
d004.s013.t001,"He gives us an [TGT] account [TGT] of this in his lively and humorous poem , `` The Happy Artists '' .","['account%1:16:00::', 'account%1:26:00::', 'account%1:10:00::', 'account%1:21:02::']","['grounds', 'a formal contractual relationship established to provide for regular banking or brokerage or business services', 'a record or narrative description of past events', 'a statement of recent transactions and the resulting balance']",[2]
d004.s013.t002,"He gives us an account of this in his [TGT] lively [TGT] and humorous poem , `` The Happy Artists '' .","['lively%5:00:00:animated:00', 'lively%5:00:00:eventful:00', 'lively%5:00:00:energetic:00', 'lively%3:00:00::']","['full of spirit', 'filled with events or activity', 'quick and energetic', 'full of life and energy']",[3]
d004.s013.t003,"He gives us an account of this in his lively and [TGT] humorous [TGT] poem , `` The Happy Artists '' .",['humorous%3:00:00::'],['full of or characterized by humor'],[0]
d004.s013.t004,"He gives us an account of this in his lively and humorous [TGT] poem [TGT] , `` The Happy Artists '' .",['poem%1:10:00::'],['a composition written in metrical feet forming rhythmical lines'],[0]
d004.s014.t000,"`` I [TGT] scanned [TGT] the world through printed symbol swart , And through the beggar 's rags I strove to see The inner man .","['scan%2:31:00::', 'scan%2:39:00::', 'scan%2:38:00::', 'scan%2:35:00::']","['obtain data from magnetic tapes', 'examine hastily', 'move a light beam over; in electronics, to reproduce an image', 'make a wide, sweeping search of']",[3]
d004.s014.t001,"`` I scanned the [TGT] world [TGT] through printed symbol swart , And through the beggar 's rags I strove to see The inner man .","['world%1:09:01::', 'world%1:17:01::', 'world%1:14:02::', 'world%1:09:00::']","['the concerns of this life as distinguished from heaven and the afterlife', 'everything that exists anywhere', 'people in general considered as a whole', 'all of your experiences that determine how things appear to you']","[3, 1]"
d004.s014.t002,"`` I scanned the world through [TGT] printed symbol [TGT] swart , And through the beggar 's rags I strove to see The inner man .",['printed_symbol%1:10:00::'],['a written or printed symbol'],[0]
d004.s014.t003,"`` I scanned the world through printed symbol [TGT] swart [TGT] , And through the beggar 's rags I strove to see The inner man .",['swart%5:00:00:brunet:00'],['naturally having skin of a dark color'],[0]
d004.s014.t004,"`` I scanned the world through printed symbol swart , And through the [TGT] beggar [TGT] 's rags I strove to see The inner man .",['beggar%1:18:00::'],['a pauper who lives by begging'],[0]
d004.s014.t005,"`` I scanned the world through printed symbol swart , And through the beggar 's [TGT] rags [TGT] I strove to see The inner man .","['rag%1:04:02::', 'rag%1:28:00::', 'rag%1:10:01::', 'rag%1:06:00::']","['a boisterous practical joke (especially by college students)', 'a week at British universities during which side-shows and processions of floats are organized to raise money for charities', 'music with a syncopated melody (usually for the piano)', 'a small piece of cloth or paper']",[3]
d004.s014.t006,"`` I scanned the world through printed symbol swart , And through the beggar 's rags I [TGT] strove [TGT] to see The inner man .","['strive%2:41:00::', 'strive%2:33:00::']","['attempt by employing effort', 'to exert much effort or energy']",[0]
d004.s014.t007,"`` I scanned the world through printed symbol swart , And through the beggar 's rags I strove to [TGT] see [TGT] The inner man .","['see%2:31:13::', 'see%2:39:00::', 'see%2:39:02::', 'see%2:31:01::']","['make sense of; assign a meaning to', 'perceive by sight or have the power to perceive by sight', 'perceive or be contemporaneous with', 'perceive (an idea or situation) mentally']","[3, 1]"
d004.s014.t008,"`` I scanned the world through printed symbol swart , And through the beggar 's rags I strove to see The [TGT] inner [TGT] man .","['inner%5:00:02:exclusive:00', 'inner%5:00:00:exclusive:00', 'inner%5:00:00:internal:00', 'inner%5:00:00:inward:00']","['confined to an exclusive group', 'exclusive to a center; especially a center of influence', 'inside or closer to the inside of the body', 'located inward; - Leonard Bernstein; - David Denby; - A.R.Gurney,Jr.']",[3]
d004.s014.t009,"`` I scanned the world through printed symbol swart , And through the beggar 's rags I strove to see The inner [TGT] man [TGT] .","['man%1:18:07::', 'man%1:18:00::', 'man%1:06:00::', 'man%1:18:04::']","['a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular woman', 'an adult person who is male (as opposed to a woman)', 'game equipment consisting of an object used in playing certain board games', 'the generic use of the word to refer to any human being']",[3]
d004.s015.t000,I [TGT] looked [TGT] unceasingly With my cold mind and with my burning heart '' .,"['look%2:29:00::', 'look%2:31:02::', 'look%2:39:01::', 'look%2:39:02::']","['have a certain outward or facial expression', 'have faith or confidence in', 'give a certain impression or have a certain outward aspect', 'search or seek']",[3]
d004.s015.t001,I looked [TGT] unceasingly [TGT] With my cold mind and with my burning heart '' .,['unceasingly%4:02:00::'],['with unflagging resolve'],[0]
d004.s015.t002,I looked unceasingly With my [TGT] cold [TGT] mind and with my burning heart '' .,"['cold%5:00:00:intense:00', 'cold%3:00:02::', 'cold%5:00:00:dead:01', 'cold%5:00:00:unloving:00']","['so intense as to be almost uncontrollable', 'extended meanings; especially of psychological coldness; without human warmth or emotion', 'lacking the warmth of life', 'sexually unresponsive']",[1]
d004.s015.t003,I looked unceasingly With my cold [TGT] mind [TGT] and with my burning heart '' .,"['mind%1:09:04::', 'mind%1:09:05::', 'mind%1:09:00::', 'mind%1:18:00::']","['an opinion formed by judging something', 'knowledge and intellectual ability', ""that which is responsible for one's thoughts and feelings; the seat of the faculty of reason"", 'an important intellectual']",[2]
d004.s015.t004,I looked unceasingly With my cold mind and with my burning [TGT] heart [TGT] '' .,"['heart%1:07:04::', 'heart%1:13:00::', 'heart%1:08:00::', 'heart%1:09:00::']","['an inclination or tendency of a certain kind', 'a firm rather dry variety meat (usually beef or veal)', 'the hollow muscular organ located behind the sternum and between the lungs; its rhythmic contractions move the blood through the body', 'the locus of feelings and intuitions']",[3]
d004.s016.t000,"In this [TGT] final [TGT] line , we have the key to his nature .","['final%5:00:00:unalterable:00', 'final%5:00:00:closing:00', 'final%5:00:00:ultimate:00']","['not to be altered or undone', 'occurring at or forming an end or termination', 'conclusive in a process or progression']",[1]
d004.s016.t001,"In this final [TGT] line [TGT] , we have the key to his nature .","['line%1:10:02::', 'line%1:06:06::', 'line%1:14:02::', 'line%1:06:05::']","['text consisting of a row of words written across a page or computer screen', 'a pipe used to transport liquids or gases', 'a connected series of events or actions or developments', 'a commercial organization serving as a common carrier']",[0]
d004.s016.t002,"In this final line , we [TGT] have [TGT] the key to his nature .","['have%2:40:03::', 'have%2:41:00::', 'have%2:42:00::', 'have%2:36:00::']","['get something; come into possession of', 'have a personal or business relationship with someone', 'have as a feature', 'organize or be responsible for']",[0]
d004.s016.t003,"In this final line , we have the [TGT] key [TGT] to his nature .","['key%1:09:00::', 'key%1:06:01::', 'key%1:20:00::', 'key%1:06:03::']","['something crucial for explaining', 'a lever (as in a keyboard) that actuates a mechanism when depressed', 'a winged often one-seed indehiscent fruit as of the ash or elm or maple', 'the central building block at the top of an arch or vault']",[0]
d004.s016.t004,"In this final line , we have the key to his [TGT] nature [TGT] .","['nature%1:17:00::', 'nature%1:18:00::', 'nature%1:07:02::', 'nature%1:07:01::']","['the natural physical world including plants and animals and landscapes etc.', 'a causal agent creating and controlling things in the universe', 'the essential qualities or characteristics by which something is recognized', ""the complex of emotional and intellectual attributes that determine a person's characteristic actions and reactions""]",[3]
d004.s017.t000,[TGT] Few [TGT] writers have better understood their deepest selves .,['few%3:00:00::'],"[""a quantifier that can be used with count nouns and is often preceded by `a'; a small but indefinite number""]",[0]
d004.s017.t001,Few [TGT] writers [TGT] have better understood their deepest selves .,"['writer%1:18:00::', 'writer%1:18:01::']","['writes (books or stories or articles or the like) professionally (for pay)', 'a person who is able to write and has written something']",[0]
d004.s017.t002,Few writers have [TGT] better [TGT] understood their deepest selves .,"['well%4:02:05::', 'well%4:02:13::', 'well%4:02:14::', 'better%4:02:00::']","['thoroughly or completely; fully; often used as a combining form; ; ; ; ; ,', 'with prudence or propriety', 'with great or especially intimate knowledge', ""comparative of `well'; in a better or more excellent manner or more advantageously or attractively or to a greater degree etc.""]",[3]
d004.s017.t003,Few writers have better [TGT] understood [TGT] their deepest selves .,"['understand%2:31:00::', 'understand%2:31:04::', 'understand%2:31:03::', 'understand%2:31:02::']","['know and comprehend the nature or meaning of', 'be understanding of', 'make sense of a language', 'believe to be the case']",[0]
d004.s017.t004,Few writers have better understood their [TGT] deepest [TGT] selves .,"['deep%5:00:00:inexplicable:00', 'deep%3:00:02::', 'deep%5:00:00:thick:01', 'deep%5:00:00:profound:00']","['of an obscure nature; ; ; ; - Rachel Carson', 'relatively deep or strong; affecting one deeply', 'relatively thick from top to bottom', 'marked by depth of thinking']",[3]
d004.s017.t005,Few writers have better understood their deepest [TGT] selves [TGT] .,"['self%1:18:00::', 'self%1:09:00::']","['a person considered as a unique individual', 'your consciousness of your own identity']",[1]
d004.s018.t000,[TGT] Heidenstam [TGT] could never be satisfied by surface .,"['person%1:10:00::', 'person%1:08:00::', 'person%1:03:00::']","['a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human body (usually including the clothing)', 'a human being']",[2]
d004.s018.t001,Heidenstam could [TGT] never [TGT] be satisfied by surface .,"['never%4:02:00::', 'never%4:02:01::']","['not ever; at no time in the past or future', 'not at all; certainly not; not in any circumstances']",[0]
d004.s018.t002,Heidenstam could never be [TGT] satisfied [TGT] by surface .,"['satisfy%2:37:00::', 'satisfy%2:42:00::', 'satisfy%2:34:01::']","['make happy or satisfied', 'meet the requirements or expectations of', 'fill or meet a want or need']",[0]
d004.s018.t003,Heidenstam could never be satisfied by [TGT] surface [TGT] .,"['surface%1:09:01::', 'surface%1:06:00::', 'surface%1:06:01::', 'surface%1:09:00::']","['information that has become public', 'the outer boundary of an artifact or a material layer constituting or resembling such a boundary', 'a device that provides reactive force when in motion relative to the surrounding air; can lift or control a plane in flight', 'a superficial aspect as opposed to the real nature of something']",[3]
d004.s019.t000,"It may , however , be [TGT] noted [TGT] that his gift for color and imagery must have been greatly stimulated by his stay in Paris .","['note%2:32:01::', 'note%2:39:02::', 'note%2:32:00::', 'note%2:39:00::']","['make a written note of', 'observe with care or pay close attention to', 'make mention of', 'notice or perceive']",[2]
d004.s019.t001,"It may , however , be noted that his [TGT] gift [TGT] for color and imagery must have been greatly stimulated by his stay in Paris .","['gift%1:21:00::', 'gift%1:04:00::', 'gift%1:09:00::']","['something acquired without compensation', 'the act of giving', 'natural abilities or qualities']",[2]
d004.s019.t002,"It may , however , be noted that his gift for [TGT] color [TGT] and imagery must have been greatly stimulated by his stay in Paris .","['color%1:07:03::', 'color%1:07:01::', 'color%1:07:04::', 'color%1:07:02::']","['interest and variety and intensity', ""the appearance of objects (or light sources) described in terms of a person's perception of their hue and lightness (or brightness) and saturation"", 'an outward or token appearance or form that is deliberately misleading', 'the timbre of a musical sound']","[0, 2]"
d004.s019.t003,"It may , however , be noted that his gift for color and [TGT] imagery [TGT] must have been greatly stimulated by his stay in Paris .",['imagery%1:09:00::'],['the ability to form mental images of things or events'],[0]
d004.s019.t004,"It may , however , be noted that his gift for color and imagery must have been [TGT] greatly [TGT] stimulated by his stay in Paris .",['greatly%4:02:00::'],['to an extraordinary extent or degree'],[0]
d004.s019.t005,"It may , however , be noted that his gift for color and imagery must have been greatly [TGT] stimulated [TGT] by his stay in Paris .","['stimulate%2:32:00::', 'stimulate%2:37:00::', 'stimulate%2:29:00::', 'stimulate%2:36:00::']","['provide the needed stimulus for', 'stir the feelings, emotions, or peace of', 'cause to be alert and energetic', 'cause to occur rapidly']",[1]
d004.s019.t006,"It may , however , be noted that his gift for color and imagery must have been greatly stimulated by his [TGT] stay [TGT] in Paris .","['stay%1:26:00::', 'stay%1:10:00::', 'stay%1:06:00::', 'stay%1:04:00::']","['the state of inactivity following an interruption', 'a judicial order forbidding some action until an event occurs or the order is lifted', '(nautical) brace consisting of a heavy rope or wire cable used as a support for a mast or spar', 'continuing or remaining in a place or state']",[3]
d004.s019.t007,"It may , however , be noted that his gift for color and imagery must have been greatly stimulated by his stay in [TGT] Paris [TGT] .","['paris%1:20:00::', 'paris%1:15:01::', 'paris%1:15:00::', 'paris%1:18:00::']","['sometimes placed in subfamily Trilliaceae', 'a town in northeastern Texas', 'the capital and largest city of France; and international center of culture and commerce', '(Greek mythology) the prince of Troy who abducted Helen from her husband Menelaus and provoked the Trojan War']",[2]
d004.s020.t000,"The [TGT] first [TGT] result of Heidenstam 's long sojourn abroad was a volume of poems , Pilgrimage and Wander Years ( Vallfart och vandringsar ) , published in 1888 .","['first%5:00:02:opening:00', 'first%3:00:00::', 'first%5:00:00:best:00', 'first%5:00:01:opening:00']","['serving to set in motion', 'preceding all others in time or space or degree', 'ranking above all others', 'serving to begin']",[1]
d004.s020.t001,"The first [TGT] result [TGT] of Heidenstam 's long sojourn abroad was a volume of poems , Pilgrimage and Wander Years ( Vallfart och vandringsar ) , published in 1888 .","['result%1:11:00::', 'result%1:19:00::', 'result%1:10:00::', 'result%1:10:01::']","['something that results', 'a phenomenon that follows and is caused by some previous phenomenon', 'a statement that solves a problem or explains how to solve the problem', 'the semantic role of the noun phrase whose referent exists only by virtue of the activity denoted by the verb in the clause']",[1]
d004.s020.t002,"The first result of [TGT] Heidenstam [TGT] 's long sojourn abroad was a volume of poems , Pilgrimage and Wander Years ( Vallfart och vandringsar ) , published in 1888 .","['person%1:10:00::', 'person%1:03:00::', 'person%1:08:00::']","['a grammatical category used in the classification of pronouns, possessive determiners, and verb forms according to whether they indicate the speaker, the addressee, or a third party', 'a human being', 'a human body (usually including the clothing)']",[1]
d004.s020.t003,"The first result of Heidenstam 's [TGT] long [TGT] sojourn abroad was a volume of poems , Pilgrimage and Wander Years ( Vallfart och vandringsar ) , published in 1888 .","['long%3:00:02::', 'long%5:00:00:abundant:00', 'long%3:00:01::', 'long%5:00:00:unsound:00']","['primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified', 'having or being more than normal or necessary:', 'primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified', 'involving substantial risk']",[0]
d004.s020.t004,"The first result of Heidenstam 's long [TGT] sojourn [TGT] abroad was a volume of poems , Pilgrimage and Wander Years ( Vallfart och vandringsar ) , published in 1888 .",['sojourn%1:04:00::'],"['a temporary stay (e.g., as a guest)']",[0]
d004.s020.t005,"The first result of Heidenstam 's long sojourn [TGT] abroad [TGT] was a volume of poems , Pilgrimage and Wander Years ( Vallfart och vandringsar ) , published in 1888 .","['abroad%4:02:00::', 'abroad%4:02:01::', 'abroad%4:02:02::']","['to or in a foreign country', 'in a place across an ocean', ""far away from home or one's usual surroundings; - R.A.Hall""]","[0, 2]"
d004.s020.t006,"The first result of Heidenstam 's long sojourn abroad [TGT] was [TGT] a volume of poems , Pilgrimage and Wander Years ( Vallfart och vandringsar ) , published in 1888 .","['be%2:42:06::', 'be%2:42:02::', 'be%2:40:00::', 'be%2:42:00::']","['be identical to; be someone or something', 'form or compose', 'spend or use time', 'have an existence, be extant']",[0]
d004.s020.t007,"The first result of Heidenstam 's long sojourn abroad was a [TGT] volume [TGT] of poems , Pilgrimage and Wander Years ( Vallfart och vandringsar ) , published in 1888 .","['volume%1:10:00::', 'volume%1:23:00::', 'volume%1:06:00::', 'volume%1:07:02::']","['a publication that is one of a set of several similar publications', 'the amount of 3-dimensional space occupied by an object', 'physical objects consisting of a number of pages bound together', 'the magnitude of sound (usually in a specified direction)']",[2]
d004.s020.t008,"The first result of Heidenstam 's long sojourn abroad was a volume of [TGT] poems [TGT] , Pilgrimage and Wander Years ( Vallfart och vandringsar ) , published in 1888 .",['poem%1:10:00::'],['a composition written in metrical feet forming rhythmical lines'],[0]
d004.s020.t009,"The first result of Heidenstam 's long sojourn abroad was a volume of poems , Pilgrimage and Wander Years ( Vallfart och vandringsar ) , [TGT] published [TGT] in 1888 .","['publish%2:36:01::', 'publish%2:32:00::', 'publish%2:36:00::']","['put into print', 'prepare and issue for public distribution or sale', ""have (one's written work) issued for publication""]","[0, 1]"
d004.s021.t000,"It [TGT] was [TGT] a brilliant debut , so much so indeed that it aroused a new vitality in the younger poets , as did Byron 's Childe Harold .","['be%2:42:02::', 'be%2:42:00::', 'be%2:42:07::', 'be%2:41:00::']","['form or compose', 'have an existence, be extant', 'be identical or equivalent to', 'work in a specific place, with a specific subject, or in a specific function']",[0]
d004.s021.t001,"It was a [TGT] brilliant [TGT] debut , so much so indeed that it aroused a new vitality in the younger poets , as did Byron 's Childe Harold .","['brilliant%5:00:00:intelligent:00', 'brilliant%5:00:00:reverberant:00', 'brilliant%5:00:00:superior:02', 'brilliant%5:00:00:impressive:00']","['having or marked by unusual and impressive intelligence', 'clear and sharp and ringing', 'of surpassing excellence', 'characterized by grandeur']",[2]
